tag_id,rel_site,rel_dt,length,weight
989.001039768591,L,5/23/2021 14:25,78,5.3
989.001039767867,L,5/23/2021 14:25,85,6.7
989.001039769121,L,5/23/2021 14:25,87,7.4
989.001039768126,L,5/23/2021 14:25,89,7.7
NA,L,5/23/2021 14:25,83,5.4
989.001039768683,L,5/23/2021 14:25,80,5.7
NA,L,5/23/2021 14:25,79,5.2
989.001039767845,L,5/23/2021 14:25,89,7.7
989.001039767808,L,5/23/2021 14:25,78,5.5
989.001039768247,L,5/23/2021 14:25,88,7.3
989.001039768189,L,5/23/2021 14:25,84,5.9
989.001039769254,L,5/23/2021 14:25,77,4.7
989.001039769178,L,5/23/2021 14:25,83,6.3
989.001039768262,L,5/23/2021 14:25,80,5.6
989.001039768559,L,5/23/2021 14:25,80,6
989.001039769053,L,5/23/2021 14:25,79,5.2
989.001039767647,L,5/23/2021 14:25,82,5.5
989.001039769069,L,5/23/2021 14:25,80,4.4
989.001039769436,L,5/23/2021 14:25,83,6.6
989.001039768576,L,5/23/2021 14:25,82,6.1
989.001039769029,L,5/23/2021 14:25,77,5.1
989.001039768214,L,5/23/2021 14:25,89,8
989.001039768161,L,5/23/2021 14:25,79,5.4
989.001039768672,L,5/23/2021 14:25,81,5.9
989.001039767668,L,5/23/2021 14:25,79,5.5
989.001039768145,L,5/23/2021 14:25,80,5.6
989.001039768631,L,5/23/2021 14:25,79,5.5
989.001039769163,L,5/23/2021 14:25,80,5.3
989.001039769037,L,5/23/2021 14:25,81,5.6
989.001039769083,L,5/23/2021 14:25,80,5.5
989.001039767846,L,5/23/2021 14:25,75,4.6
989.001039767931,L,5/23/2021 14:25,83,6.1
989.001039769241,L,5/23/2021 14:25,87,7.1
989.001039768226,L,5/23/2021 14:25,77,4.7
989.001039768209,L,5/23/2021 14:25,79,5.4
989.001039767986,L,5/23/2021 14:25,80,5.6
989.001039767847,L,5/23/2021 14:25,83,5.8
989.001039767898,L,5/23/2021 14:25,80,5.4
989.001039768099,L,5/23/2021 14:25,84,6.3
989.001039769205,L,5/23/2021 14:25,87,7.1
989.001039767862,L,5/23/2021 14:25,78,6
989.001039768460,L,5/23/2021 14:25,78,5.3
989.001039768744,L,5/23/2021 14:25,82,5.8
989.001039768095,L,5/23/2021 14:25,81,5.4
989.001039768256,L,5/23/2021 14:25,79,5.1
989.001039768687,L,5/23/2021 14:25,79,5.2
989.001039768640,L,5/23/2021 14:25,79,5.5
989.001039767925,L,5/23/2021 14:25,87,6.7
989.001039769165,L,5/23/2021 14:25,84,6.3
NA,L,5/23/2021 14:25,79,5.7
989.001039767795,L,5/23/2021 14:25,82,6.1
989.001039767876,L,5/23/2021 14:25,82,5.7
989.001039768277,L,5/23/2021 14:25,84,6.3
989.001039768961,L,5/23/2021 14:25,78,5.2
989.001039768523,L,5/23/2021 14:25,86,6.3
989.001039769460,L,5/23/2021 14:25,78,5.4
989.001039768114,L,5/23/2021 14:25,87,7
989.001039768558,L,5/23/2021 14:25,86,7.2
989.001039768157,L,5/23/2021 14:25,85,6.9
989.001039768696,L,5/23/2021 14:25,81,5.9
989.001039768187,L,5/23/2021 14:25,82,5.6
989.001039768171,L,5/23/2021 14:25,81,5.6
989.001039767900,L,5/23/2021 14:25,81,6
989.001039769102,L,5/23/2021 14:25,82,5.8
989.001039769195,L,5/23/2021 14:25,77,5.3
989.001039769063,L,5/23/2021 14:25,83,5.6
989.001039767972,L,5/23/2021 14:25,82,6.5
989.001039768670,L,5/23/2021 14:25,84,6.5
989.001039768985,L,5/23/2021 14:25,83,6
989.001039768433,L,5/23/2021 14:25,85,6.8
989.001039768762,L,5/23/2021 14:25,85,6.9
989.001039767799,L,5/23/2021 14:25,87,7.5
989.001039768949,L,5/23/2021 14:25,80,5.5
989.001034196871,L,5/23/2021 14:25,77,4.8
989.001034196927,L,5/23/2021 14:25,78,4.7
989.001039769390,L,5/23/2021 14:25,77,5
989.001034197472,L,5/23/2021 14:25,72,4.2
989.001034197540,L,5/23/2021 14:25,76,5.1
989.001039768066,L,5/23/2021 14:25,73,4.4
989.001039769554,L,5/23/2021 14:25,73,4.6
989.001034196847,L,5/23/2021 14:25,82,5.3
989.001039768037,L,5/23/2021 14:25,80,5.7
989.001034196636,L,5/23/2021 14:25,76,4.7
989.001039767704,L,5/23/2021 14:25,75,4.7
989.001039768384,L,5/23/2021 14:25,72,3.9
989.001034196811,L,5/23/2021 14:25,78,4.9
989.001039769588,L,5/23/2021 14:25,84,4.8
989.001034197395,L,5/23/2021 14:25,78,4.8
989.001039768318,L,5/23/2021 14:25,63,2.7
989.001034196737,L,5/23/2021 14:25,75,5
989.001034196646,L,5/23/2021 14:25,82,5.1
989.001034196657,L,5/23/2021 14:25,68,3.8
989.001034197599,L,5/23/2021 14:25,83,6.8
989.001039768313,L,5/23/2021 14:25,80,5.8
989.001034196643,L,5/23/2021 14:25,75,4.2
989.001034196719,L,5/23/2021 14:25,78,4.9
NA,L,5/23/2021 14:25,81,5.6
989.001034197393,L,5/23/2021 14:25,75,4.6
989.001034196332,L,5/23/2021 14:25,74,4.3
989.001034197496,L,5/23/2021 14:25,79,5.9
989.001039768058,L,5/23/2021 14:25,72,4.1
989.001034197394,L,5/23/2021 14:25,66,3.2
989.001039769610,L,5/23/2021 14:25,73,4.6
989.001034197272,L,5/23/2021 14:25,75,4.5
989.001039769563,L,5/23/2021 14:25,76,4.8
989.001039768031,L,5/23/2021 14:25,74,4.5
989.001039768005,L,5/23/2021 14:25,79,4.9
989.001039769501,L,5/23/2021 14:25,77,4.6
989.001034196747,L,5/23/2021 14:25,74,4.4
989.001034197322,L,5/23/2021 14:25,77,4.7
989.001034196685,L,5/23/2021 14:25,78,4.6
989.001034196701,L,5/23/2021 14:25,86,6.1
989.001039767697,L,5/23/2021 14:25,83,5.9
989.001034197408,L,5/23/2021 14:25,77,4.6
989.001034196675,L,5/23/2021 14:25,76,4.8
989.001034197409,L,5/23/2021 14:25,81,5.7
989.001039768060,L,5/23/2021 14:25,72,3.7
989.001034196812,L,5/23/2021 14:25,81,6
989.001039769382,L,5/23/2021 14:25,76,4.8
989.001034197304,L,5/23/2021 14:25,79,5
989.001039769594,L,5/23/2021 14:25,79,5.4
989.001039769679,L,5/23/2021 14:25,77,5.5
989.001034196917,L,5/23/2021 14:25,79,4.9
989.001034196829,L,5/23/2021 14:25,79,5.3
989.001039769661,L,5/23/2021 14:25,77,4.9
989.001034197455,L,5/23/2021 14:25,74,4.2
989.001034197435,L,5/23/2021 14:25,79,5.1
989.001034196633,L,5/23/2021 14:25,74,4.4
989.001034197217,L,5/23/2021 14:25,75,4.1
989.001034197314,L,5/23/2021 14:25,82,5.4
989.001039769361,L,5/23/2021 14:25,76,4.9
989.001039769685,L,5/23/2021 14:25,74,4.7
989.001039769641,L,5/23/2021 14:25,74,4.2
989.001039769349,L,5/23/2021 14:25,76,4.7
989.001034197407,L,5/23/2021 14:25,74,4.2
989.001034197279,L,5/23/2021 14:25,76,4.8
989.001034197495,L,5/23/2021 14:25,84,6.1
989.001034197483,L,5/23/2021 14:25,83,5.9
989.001039768361,L,5/23/2021 14:25,82,5.8
989.001034196974,L,5/23/2021 14:25,73,4.3
